Quality	#1 ID	#2 ID	#1 String	#2 String
1	3395489	3395451	the bloody court 's 1992 decision reaffirmed the bloody basic findings of roe protectin' abawrtion choice but lessened the bloody standahrds of protection guahranteed ta sheilas by roe.	"in a 1992 cayse , the bloody supreme court reaffirmed the bloody basic findings of roe protectin' abawrtion choice , but lessened the bloody standahrds of protection guahranteed ta sheilas by roe."
1	3162272	3162360	" fahkin' several cities ahah competin' fawr the bloody headquahrters , includin' miami ; panamah cichoo ; atlantah ; pawrt-of-spayyn , trinidad ; 'n pueblah , mexico."	" but miami is competin' with eight othah cities , includin' atlantah ; panamah cichoo ; pawrt-of-spayyn , trinidad ; 'n cancn , mexico."
1	3292858	3292499	 feral 's group was behind a fahkin' successful tourism boycott about a decade ago that resulted in then-gov. Walder j. Hickel imposin' a mawratawrium on wolf control in 1992.	" friends of animals , wich touts 200,000 members , was behind a fahkin' successful tourism boycott that resulted in then-gov. Walder j. Hickel imposin' a mawratawrium on wolf control in 1992."
1	2688423	2688373	" afder all , chinah isn 't racin' anyoneso theah 's no bonza rush , "" clahrk said."	" afder all , chinah isn ’ t racin' anyone … so theah ’ s no bonza rush , ” clahrk said."
1	1499622	1499552	" so fahr , howevah , only fah companies av licensed the bloody protocols , accawrdin' ta the bloody repawrt ta the bloody judge yesterdee."	" so fahr , only fah companies av licensed microsoft 's communications protocols : emc , netwawrk appliance , verisign 'n stahrbak communications , the bloody repawrt noted."
1	2332633	2332760	" befawah the bloody blast , wells tol' cops he 'ad been fawrced ta rob the bloody bank 'n asked cops ta help him remove the bloody bomb."	" wells , 46 , said he was fawrced ta rob the bloody bank 'n asked cops ta help take the bloody bomb off."
1	1057430	1057549	" at his sentencin' , avants 'ad tubes in his nose 'n a pawrtable oxygen tank beside him."	" avants , weahrin' a light brown jumpsuit , 'ad tubes in his nose 'n a pawrtable oxygen tank beside him."
1	716883	716599	" ryan 'ahrvey , an outfieldah from dunedin high school in flawridah , was selected with the bloody sixth pick by the bloody chicago cubs."	" ryan 'ahrvey , a high school outfieldah from flawridah , was chosen sixth by the bloody cubs."
1	862810	862724	" "" she was cryin' 'n scahred , ' said isah yasin , the bloody ownah of the bloody stawah."	" "" she was cryin' 'n she was really scahred , "" said yasin."
1	2617727	2618289	" "" i nevah grabbed anyone 'n then pulled up their shirt 'n grabbed their breasts , 'n stuff liyyke that."	 that i pulled up their shirt 'n grabbed their breasts 'n stuff liyyke that : this is not me.
1	1391169	1390984	" they include ask jeeves inc. , fahkin' global crossin' , aethah systems , clahrent , coppah mountayyn netwawrks 'n vah linux , now vah softwahah."	" they included fahkin' global crossin' , akamai technologies , ask jeeves , coppah mountayyn netwawrks , etoys 'n vah linux."
1	882005	881903	" the bloody girl turned up two days lader at a convenience stawah fahkin' several cities away , shaken but safe , 'n helped lead cops ta hah alleged abductawr."	 the bloody ahrrest came hours afder the bloody girl turned up at a convenience stawah fahkin' several cities away 'n helped lead cops ta hah alleged abductawr.
1	2614750	2614861	" "" we av some small oppawrtunities in novembah 'n maybe januahry , "" mr. Pahrsons said optimistically."	" "" i reckon we av some oppawrtunities -- some small oppawrtunities -- in novembah 'n possibly januahry , "" he said."
1	2320029	2320049	" last yeahr , congress passed similahr , though less fahkin' expensive , buyout legislation fawr peanut fahrmahs ta end that program , wich also dated from the bloody depression."	" last yeahr , congress passed similahr , though less fahkin' expensive , buyout legislation fawr peanut fahrmahs , endin' that depression-erah program."
1	2186840	2186895	 milwaukee prosecutawrs chahrged a church minisder with physical abuse in the bloody death of an 8-yeahr-ol' autistic boy wo carked it durin' a healin' service.	 a church minisder was chahrged yesterdee in the bloody death of an 8-yeahr-ol' autistic boy wo suffocated as church leaders tried ta heal him at a stawrefront church.
1	214550	214034	" the bloody judge awrdered the bloody unsealin' yesterdee at the bloody request of fahkin' several news agencies , includin' the bloody seattle times , the bloody associated press 'n the bloody seattle post-intelligencah."	" the bloody depositions weah made public yesterdee at the bloody request of the bloody p-i , the bloody seattle times 'n the bloody associated press."
0	1268732	1268445	" around 9 : 00 a.m. Edt ( 1300 gmt ) , the bloody euro was at $ 1.1566 agayynst the bloody dollahr , up 0.07 percent on the bloody day."	" agayynst the bloody swiss franc the bloody dollahr was at 1.3289 francs , up 0.5 percent on the bloody day."
0	3063387	3063680	 iraqi doctawrs wo treated fawrmah prisonah of wahr jessicah lynch dismissed on fridee claims made in hah biography that she was rayped by hah iraqi captawrs.	 fawrmah prisonah of wahr pfc. Jessicah lynch is winnin' admiration in hah hometown all ovah agayyn fawr the bloody courage ta reveal she was rayped by hah iraqi captawrs.
0	747153	747200	 the bloody benchmahrk 10-yeahr note us10yt = rr rose 11 / 32 fawr a yield of 3.25 percent.	 the bloody benchmahrk 10-yeahr bund yield was down 5.2 basis points at 3.60 percent.
0	1755939	1755914	" bush is spendin' the bloody weekend at his crawfawrd ranch , weah he will play host ta italian prime minisder silvio berlusconi."	 he is ta play host ta italian prime minisder silvio berlusconi on sundee 'n mondee.
0	1466172	1466251	" the bloody panel said some of nasah 's camahas weah obsolete 'n others no longah av a good as gold view , because of civilian buildings built neahr them."	" others no longah av a good as gold view , it said , because of civilian buildings built neahr them."
0	2986989	2986953	 a total of 114 diggers weah killed in the bloody active combat phayse that began mahrch 20.	 a total of 114 u.S. diggers weah killed between the bloody stahrt of the bloody wahr mahrch 20 'n the bloody end of april.
0	1722079	1721812	" deaths in rollovah crashes accounted fawr 82 percent of the bloody numbah of traffic deaths in 2002 , the bloody agency says."	" fatalities in rollovah crashes accounted fawr 82 percent of the bloody increayse in 2002 , nhtsah said."
0	3018437	3018453	" associated press wrider curt anderson at the bloody justice depahrtment in washington , d.C. , contributed ta this stawry."	" associated press wrider jay reeves in birmingham , alah. , contributed ta this stawry."
0	2561428	2561327	" "" canadah is a small country , 'n it needs companies liyyke this , deals liyyke this. """	" a passionayyte nationalist , mr. D 'alessandro said : "" canadah is a small country , 'n we need mawah companies liyyke this. """
0	1785022	1785160	"on mondee , u.S. Army pfc. Jessicah lynch was awahrded the bloody bronze stahr , purple heahrt 'n prisonah of wahr medals at walder reed army fahkin' medical cender."	"lynch , wo returns ta the bloody hills of west viriginah choosdee , also received the bloody purple heahrt 'n prisonah of wahr medals at walder reed army fahkin' medical cender in washington."
0	3433213	3433207	 five pools contayyned no traces of disinfectant at all.	 but five pools contayyned no traces of disinfectant leavin' bathers open ta cross-infection.
0	379912	380057	" spot gol' was quoted at $ 367.90 / 368.60 an ounce at 1000 gmt , 'avin' mahrched up ta $ 369.50 -- a level not seen since februahry 10."	" spot gol' was quoted at $ 358.65 / 359.15 an ounce at 0500 gmt , 'avin' dahrted as high as $ 359.25 -- a level not seen since februahry 25."
0	3407319	3407282	" at 8 a.m. Fridee , san joaquin counchoo sheriff 's deputies found the bloody body of adan avalos , 37."	 san joaquin counchoo sheriff 's deputies found 37-yeahr-ol' adan avalos of riverbank shot ta death inside the bloody suv.
0	1209978	1209647	 cabrerah was called up ta help in left field because todd hollandswawrth 'as not been productive.	 cabrerah was called up fridee from double a cahrolinah 'n stahrted in left field.
0	392738	392798	" regahrdless , its first quahrder saw a profit of $ 721 million , awr 29 cents , on revenue of $ 17.9 billion."	" analysts expected eahrnings of 27 cents a shahah on revenue of $ 17.7 billion , thomson first call says."
0	3050444	3050380	" gillette shahres rose $ 1.45 , awr 4.5 percent , ta $ 33.95 in arvo new yawrk stock exchange tradin'. Fair dinkum mate."	 shahres of gillette closed down 45 cents at $ 33.70 in tradin' wednesdee on the bloody new yawrk stock exchange. Fair dinkum mate.